Country,Year,Sex,NCD_Mortality,IndicatorName,CountryCode,Risk_Level,Continent
Botswana,2018,Both sexes,584.1,Age-standardized NCD mortality rate  (per 100 000 population),BWA,Moderate,
Oman,2018,Both sexes,581.8,Age-standardized NCD mortality rate  (per 100 000 population),OMN,Moderate,
Albania,2018,Both sexes,579.2,Age-standardized NCD mortality rate  (per 100 000 population),ALB,Moderate,
North Macedonia,2018,Both sexes,584.2,Age-standardized NCD mortality rate  (per 100 000 population),MKD,Moderate,
India,2018,Both sexes,577.4,Age-standardized NCD mortality rate  (per 100 000 population),IND,Moderate,Asia
Romania,2018,Both sexes,575.2,Age-standardized NCD mortality rate  (per 100 000 population),ROU,Moderate,
Equatorial Guinea,2018,Both sexes,592.2,Age-standardized NCD mortality rate  (per 100 000 population),GNQ,Moderate,
Comoros,2018,Both sexes,593.5,Age-standardized NCD mortality rate  (per 100 000 population),COM,Moderate,
South Sudan,2018,Both sexes,589.9,Age-standardized NCD mortality rate  (per 100 000 population),SSD,Moderate,
Serbia,2018,Both sexes,593.1,Age-standardized NCD mortality rate  (per 100 000 population),SRB,Moderate,
Zambia,2018,Both sexes,598.0,Age-standardized NCD mortality rate  (per 100 000 population),ZMB,Moderate,
Seychelles,2018,Both sexes,599.4,Age-standardized NCD mortality rate  (per 100 000 population),SYC,Moderate,
Rwanda,2018,Both sexes,612.9,Age-standardized NCD mortality rate  (per 100 000 population),RWA,Moderate,Africa
Senegal,2018,Both sexes,609.1,Age-standardized NCD mortality rate  (per 100 000 population),SEN,Moderate,
Sudan,2018,Both sexes,613.5,Age-standardized NCD mortality rate  (per 100 000 population),SDN,Moderate,
Benin,2018,Both sexes,612.7,Age-standardized NCD mortality rate  (per 100 000 population),BEN,Moderate,
Sao Tome and Principe,2018,Both sexes,607.0,Age-standardized NCD mortality rate  (per 100 000 population),STP,Moderate,
South Africa,2018,Both sexes,607.5,Age-standardized NCD mortality rate  (per 100 000 population),ZAF,Moderate,
Djibouti,2018,Both sexes,624.8,Age-standardized NCD mortality rate  (per 100 000 population),DJI,Moderate,
Democratic People's Republic of Korea,2018,Both sexes,618.9,Age-standardized NCD mortality rate  (per 100 000 population),PRK,Moderate,
Ghana,2018,Both sexes,625.5,Age-standardized NCD mortality rate  (per 100 000 population),GHA,Moderate,
Namibia,2018,Both sexes,632.8,Age-standardized NCD mortality rate  (per 100 000 population),NAM,Moderate,
Honduras,2018,Both sexes,627.7,Age-standardized NCD mortality rate  (per 100 000 population),HND,Moderate,
Morocco,2018,Both sexes,626.2,Age-standardized NCD mortality rate  (per 100 000 population),MAR,Moderate,
Georgia,2018,Both sexes,634.3,Age-standardized NCD mortality rate  (per 100 000 population),GEO,Moderate,
Bulgaria,2018,Both sexes,629.3,Age-standardized NCD mortality rate  (per 100 000 population),BGR,Moderate,
Chad,2018,Both sexes,637.0,Age-standardized NCD mortality rate  (per 100 000 population),TCD,Moderate,
Burundi,2018,Both sexes,644.7,Age-standardized NCD mortality rate  (per 100 000 population),BDI,Moderate,
Cote d'Ivoire,2018,Both sexes,635.2,Age-standardized NCD mortality rate  (per 100 000 population),CIV,Moderate,
Gambia,2018,Both sexes,640.5,Age-standardized NCD mortality rate  (per 100 000 population),GMB,Moderate,
Bahrain,2018,Both sexes,636.1,Age-standardized NCD mortality rate  (per 100 000 population),BHR,Moderate,
Belarus,2018,Both sexes,635.9,Age-standardized NCD mortality rate  (per 100 000 population),BLR,Moderate,
Mali,2018,Both sexes,650.7,Age-standardized NCD mortality rate  (per 100 000 population),MLI,Moderate,
Guinea,2018,Both sexes,647.8,Age-standardized NCD mortality rate  (per 100 000 population),GIN,Moderate,
Sierra Leone,2018,Both sexes,648.3,Age-standardized NCD mortality rate  (per 100 000 population),SLE,Moderate,
Tonga,2018,Both sexes,647.6,Age-standardized NCD mortality rate  (per 100 000 population),TON,Moderate,
Kyrgyzstan,2018,Both sexes,645.8,Age-standardized NCD mortality rate  (per 100 000 population),KGZ,Moderate,
Republic of Moldova,2018,Both sexes,650.4,Age-standardized NCD mortality rate  (per 100 000 population),MDA,Moderate,
Russian Federation,2018,Both sexes,645.7,Age-standardized NCD mortality rate  (per 100 000 population),RUS,Moderate,
Philippines,2018,Both sexes,648.8,Age-standardized NCD mortality rate  (per 100 000 population),PHL,Moderate,
Gabon,2018,Both sexes,657.6,Age-standardized NCD mortality rate  (per 100 000 population),GAB,Moderate,
Congo,2018,Both sexes,658.4,Age-standardized NCD mortality rate  (per 100 000 population),COG,Moderate,
Angola,2018,Both sexes,658.5,Age-standardized NCD mortality rate  (per 100 000 population),AGO,Moderate,
Indonesia,2018,Both sexes,662.7,Age-standardized NCD mortality rate  (per 100 000 population),IDN,Moderate,
Guyana,2018,Both sexes,659.7,Age-standardized NCD mortality rate  (per 100 000 population),GUY,Moderate,
Grenada,2018,Both sexes,657.1,Age-standardized NCD mortality rate  (per 100 000 population),GRD,Moderate,
Kazakhstan,2018,Both sexes,656.1,Age-standardized NCD mortality rate  (per 100 000 population),KAZ,Moderate,
Ukraine,2018,Both sexes,660.4,Age-standardized NCD mortality rate  (per 100 000 population),UKR,Moderate,
Yemen,2018,Both sexes,670.2,Age-standardized NCD mortality rate  (per 100 000 population),YEM,Moderate,
Guinea-Bissau,2018,Both sexes,672.7,Age-standardized NCD mortality rate  (per 100 000 population),GNB,Moderate,
Burkina Faso,2018,Both sexes,670.1,Age-standardized NCD mortality rate  (per 100 000 population),BFA,Moderate,
Cameroon,2018,Both sexes,671.2,Age-standardized NCD mortality rate  (per 100 000 population),CMR,Moderate,
Jamaica,2018,Both sexes,669.5,Age-standardized NCD mortality rate  (per 100 000 population),JAM,Moderate,
Myanmar,2018,Both sexes,683.8,Age-standardized NCD mortality rate  (per 100 000 population),MMR,Moderate,
Madagascar,2018,Both sexes,692.6,Age-standardized NCD mortality rate  (per 100 000 population),MDG,Moderate,
Cambodia,2018,Both sexes,685.3,Age-standardized NCD mortality rate  (per 100 000 population),KHM,Moderate,
Malawi,2018,Both sexes,688.6,Age-standardized NCD mortality rate  (per 100 000 population),MWI,Moderate,
Pakistan,2018,Both sexes,688.3,Age-standardized NCD mortality rate  (per 100 000 population),PAK,Moderate,
Democratic Republic of the Congo,2018,Both sexes,695.9,Age-standardized NCD mortality rate  (per 100 000 population),COD,Moderate,
Turkmenistan,2018,Both sexes,699.1,Age-standardized NCD mortality rate  (per 100 000 population),TKM,Moderate,
Lao People's Democratic Republic,2018,Both sexes,707.9,Age-standardized NCD mortality rate  (per 100 000 population),LAO,Moderate,
Syrian Arab Republic,2018,Both sexes,707.0,Age-standardized NCD mortality rate  (per 100 000 population),SYR,Moderate,
Togo,2018,Both sexes,716.5,Age-standardized NCD mortality rate  (per 100 000 population),TGO,Moderate,
Papua New Guinea,2018,Both sexes,720.6,Age-standardized NCD mortality rate  (per 100 000 population),PNG,Moderate,
Mongolia,2018,Both sexes,757.0,Age-standardized NCD mortality rate  (per 100 000 population),MNG,Moderate,
Uzbekistan,2018,Both sexes,780.5,Age-standardized NCD mortality rate  (per 100 000 population),UZB,Moderate,
Eritrea,2018,Both sexes,792.2,Age-standardized NCD mortality rate  (per 100 000 population),ERI,Moderate,
Samoa,2018,Both sexes,794.7,Age-standardized NCD mortality rate  (per 100 000 population),WSM,Moderate,
Egypt,2018,Both sexes,798.3,Age-standardized NCD mortality rate  (per 100 000 population),EGY,Moderate,
Mozambique,2018,Both sexes,806.7,Age-standardized NCD mortality rate  (per 100 000 population),MOZ,High,
Somalia,2018,Both sexes,818.2,Age-standardized NCD mortality rate  (per 100 000 population),SOM,High,
Haiti,2018,Both sexes,870.9,Age-standardized NCD mortality rate  (per 100 000 population),HTI,High,
Central African Republic,2018,Both sexes,883.4,Age-standardized NCD mortality rate  (per 100 000 population),CAF,High,
Afghanistan,2018,Both sexes,911.8,Age-standardized NCD mortality rate  (per 100 000 population),AFG,High,
Zimbabwe,2018,Both sexes,912.1,Age-standardized NCD mortality rate  (per 100 000 population),ZWE,High,
Solomon Islands,2018,Both sexes,942.6,Age-standardized NCD mortality rate  (per 100 000 population),SLB,High,
Vanuatu,2018,Both sexes,940.9,Age-standardized NCD mortality rate  (per 100 000 population),VUT,High,
Fiji,2018,Both sexes,958.3,Age-standardized NCD mortality rate  (per 100 000 population),FJI,High,
Micronesia (Federated States of),2018,Both sexes,964.5,Age-standardized NCD mortality rate  (per 100 000 population),FSM,High,
Eswatini,2018,Both sexes,992.8,Age-standardized NCD mortality rate  (per 100 000 population),SWZ,High,
Lesotho,2017,Both sexes,1021.0,Age-standardized NCD mortality rate  (per 100 000 population),LSO,High,
Kiribati,2017,Both sexes,1040.0,Age-standardized NCD mortality rate  (per 100 000 population),KIR,High,
Japan,2017,Both sexes,233.6,Age-standardized NCD mortality rate  (per 100 000 population),JPN,Low,
Singapore,2017,Both sexes,237.4,Age-standardized NCD mortality rate  (per 100 000 population),SGP,Low,
Republic of Korea,2017,Both sexes,247.5,Age-standardized NCD mortality rate  (per 100 000 population),KOR,Low,
Peru,2017,Both sexes,279.0,Age-standardized NCD mortality rate  (per 100 000 population),PER,Low,
Kuwait,2017,Both sexes,278.0,Age-standardized NCD mortality rate  (per 100 000 population),KWT,Low,
Switzerland,2017,Both sexes,279.0,Age-standardized NCD mortality rate  (per 100 000 population),CHE,Low,
Australia,2017,Both sexes,287.1,Age-standardized NCD mortality rate  (per 100 000 population),AUS,Low,Oceania
Israel,2017,Both sexes,292.7,Age-standardized NCD mortality rate  (per 100 000 population),ISR,Low,
Luxembourg,2017,Both sexes,293.6,Age-standardized NCD mortality rate  (per 100 000 population),LUX,Low,
France,2017,Both sexes,296.0,Age-standardized NCD mortality rate  (per 100 000 population),FRA,Low,
Spain,2017,Both sexes,298.7,Age-standardized NCD mortality rate  (per 100 000 population),ESP,Low,
Italy,2017,Both sexes,302.7,Age-standardized NCD mortality rate  (per 100 000 population),ITA,Low,
Norway,2017,Both sexes,300.2,Age-standardized NCD mortality rate  (per 100 000 population),NOR,Low,
Iceland,2017,Both sexes,306.6,Age-standardized NCD mortality rate  (per 100 000 population),ISL,Low,
Malta,2017,Both sexes,311.8,Age-standardized NCD mortality rate  (per 100 000 population),MLT,Low,
Sweden,2017,Both sexes,312.8,Age-standardized NCD mortality rate  (per 100 000 population),SWE,Low,
Canada,2017,Both sexes,316.9,Age-standardized NCD mortality rate  (per 100 000 population),CAN,Low,North America
Belgium,2017,Both sexes,324.7,Age-standardized NCD mortality rate  (per 100 000 population),BEL,Low,
Cyprus,2017,Both sexes,326.7,Age-standardized NCD mortality rate  (per 100 000 population),CYP,Low,
Costa Rica,2017,Both sexes,326.8,Age-standardized NCD mortality rate  (per 100 000 population),CRI,Low,
Puerto Rico,2017,Both sexes,332.2,Age-standardized NCD mortality rate  (per 100 000 population),PRI,Low,
Chile,2017,Both sexes,334.6,Age-standardized NCD mortality rate  (per 100 000 population),CHL,Low,
Portugal,2017,Both sexes,332.0,Age-standardized NCD mortality rate  (per 100 000 population),PRT,Low,
Netherlands (Kingdom of the),2017,Both sexes,331.8,Age-standardized NCD mortality rate  (per 100 000 population),NLD,Low,
New Zealand,2017,Both sexes,334.1,Age-standardized NCD mortality rate  (per 100 000 population),NZL,Low,
United Arab Emirates,2017,Both sexes,344.2,Age-standardized NCD mortality rate  (per 100 000 population),ARE,Low,
Ireland,2017,Both sexes,335.2,Age-standardized NCD mortality rate  (per 100 000 population),IRL,Low,
Austria,2017,Both sexes,340.3,Age-standardized NCD mortality rate  (per 100 000 population),AUT,Low,
Finland,2017,Both sexes,342.9,Age-standardized NCD mortality rate  (per 100 000 population),FIN,Low,
Greece,2017,Both sexes,352.8,Age-standardized NCD mortality rate  (per 100 000 population),GRC,Low,
United Kingdom of Great Britain and Northern Ireland,2017,Both sexes,349.2,Age-standardized NCD mortality rate  (per 100 000 population),GBR,Low,
Thailand,2017,Both sexes,361.3,Age-standardized NCD mortality rate  (per 100 000 population),THA,Low,
Denmark,2017,Both sexes,355.5,Age-standardized NCD mortality rate  (per 100 000 population),DNK,Low,
Slovenia,2017,Both sexes,355.2,Age-standardized NCD mortality rate  (per 100 000 population),SVN,Low,
Germany,2017,Both sexes,363.6,Age-standardized NCD mortality rate  (per 100 000 population),DEU,Low,Europe
Nicaragua,2017,Both sexes,374.8,Age-standardized NCD mortality rate  (per 100 000 population),NIC,Low,
Lebanon,2017,Both sexes,374.8,Age-standardized NCD mortality rate  (per 100 000 population),LBN,Low,
Panama,2017,Both sexes,366.6,Age-standardized NCD mortality rate  (per 100 000 population),PAN,Low,
Jordan,2017,Both sexes,390.6,Age-standardized NCD mortality rate  (per 100 000 population),JOR,Low,
Colombia,2017,Both sexes,386.3,Age-standardized NCD mortality rate  (per 100 000 population),COL,Low,
Ecuador,2017,Both sexes,403.6,Age-standardized NCD mortality rate  (per 100 000 population),ECU,Moderate,
United States of America,2017,Both sexes,407.9,Age-standardized NCD mortality rate  (per 100 000 population),USA,Moderate,
Qatar,2017,Both sexes,432.0,Age-standardized NCD mortality rate  (per 100 000 population),QAT,Moderate,
Argentina,2017,Both sexes,426.3,Age-standardized NCD mortality rate  (per 100 000 population),ARG,Moderate,
Czechia,2017,Both sexes,428.6,Age-standardized NCD mortality rate  (per 100 000 population),CZE,Moderate,
Uruguay,2017,Both sexes,433.7,Age-standardized NCD mortality rate  (per 100 000 population),URY,Moderate,
Iran (Islamic Republic of),2017,Both sexes,443.2,Age-standardized NCD mortality rate  (per 100 000 population),IRN,Moderate,
Cuba,2017,Both sexes,438.5,Age-standardized NCD mortality rate  (per 100 000 population),CUB,Moderate,
Cabo Verde,2017,Both sexes,449.8,Age-standardized NCD mortality rate  (per 100 000 population),CPV,Moderate,
Estonia,2017,Both sexes,454.4,Age-standardized NCD mortality rate  (per 100 000 population),EST,Moderate,
Belize,2017,Both sexes,445.7,Age-standardized NCD mortality rate  (per 100 000 population),BLZ,Moderate,
Saint Lucia,2017,Both sexes,454.2,Age-standardized NCD mortality rate  (per 100 000 population),LCA,Moderate,
Tunisia,2017,Both sexes,464.8,Age-standardized NCD mortality rate  (per 100 000 population),TUN,Moderate,
Dominican Republic,2017,Both sexes,462.5,Age-standardized NCD mortality rate  (per 100 000 population),DOM,Moderate,
Maldives,2017,Both sexes,464.4,Age-standardized NCD mortality rate  (per 100 000 population),MDV,Moderate,
Mexico,2017,Both sexes,456.7,Age-standardized NCD mortality rate  (per 100 000 population),MEX,Moderate,
Sri Lanka,2017,Both sexes,475.0,Age-standardized NCD mortality rate  (per 100 000 population),LKA,Moderate,
Paraguay,2017,Both sexes,466.9,Age-standardized NCD mortality rate  (per 100 000 population),PRY,Moderate,
El Salvador,2017,Both sexes,469.6,Age-standardized NCD mortality rate  (per 100 000 population),SLV,Moderate,
Barbados,2017,Both sexes,473.3,Age-standardized NCD mortality rate  (per 100 000 population),BRB,Moderate,
Brazil,2017,Both sexes,466.9,Age-standardized NCD mortality rate  (per 100 000 population),BRA,Moderate,South America
Croatia,2017,Both sexes,466.6,Age-standardized NCD mortality rate  (per 100 000 population),HRV,Moderate,
Poland,2017,Both sexes,469.9,Age-standardized NCD mortality rate  (per 100 000 population),POL,Moderate,
Nigeria,2017,Both sexes,480.5,Age-standardized NCD mortality rate  (per 100 000 population),NGA,Moderate,
Ethiopia,2017,Both sexes,477.5,Age-standardized NCD mortality rate  (per 100 000 population),ETH,Moderate,
United Republic of Tanzania,2017,Both sexes,492.1,Age-standardized NCD mortality rate  (per 100 000 population),TZA,Moderate,
Saudi Arabia,2017,Both sexes,487.4,Age-standardized NCD mortality rate  (per 100 000 population),SAU,Moderate,
Slovakia,2017,Both sexes,489.7,Age-standardized NCD mortality rate  (per 100 000 population),SVK,Moderate,
Guatemala,2017,Both sexes,490.1,Age-standardized NCD mortality rate  (per 100 000 population),GTM,Moderate,
Bhutan,2017,Both sexes,502.3,Age-standardized NCD mortality rate  (per 100 000 population),BTN,Moderate,
Bangladesh,2017,Both sexes,495.8,Age-standardized NCD mortality rate  (per 100 000 population),BGD,Moderate,
Türkiye,2017,Both sexes,500.5,Age-standardized NCD mortality rate  (per 100 000 population),TUR,Moderate,
Brunei Darussalam,2017,Both sexes,501.9,Age-standardized NCD mortality rate  (per 100 000 population),BRN,Moderate,
Bosnia and Herzegovina,2017,Both sexes,510.2,Age-standardized NCD mortality rate  (per 100 000 population),BIH,Moderate,
China,2017,Both sexes,512.5,Age-standardized NCD mortality rate  (per 100 000 population),CHN,Moderate,Asia
Mauritania,2017,Both sexes,518.2,Age-standardized NCD mortality rate  (per 100 000 population),MRT,Moderate,
Venezuela (Bolivarian Republic of),2017,Both sexes,516.4,Age-standardized NCD mortality rate  (per 100 000 population),VEN,Moderate,
Uganda,2017,Both sexes,533.3,Age-standardized NCD mortality rate  (per 100 000 population),UGA,Moderate,Africa
Bolivia (Plurinational State of),2017,Both sexes,531.8,Age-standardized NCD mortality rate  (per 100 000 population),BOL,Moderate,
Algeria,2017,Both sexes,526.7,Age-standardized NCD mortality rate  (per 100 000 population),DZA,Moderate,
Suriname,2017,Both sexes,526.1,Age-standardized NCD mortality rate  (per 100 000 population),SUR,Moderate,
Malaysia,2017,Both sexes,529.0,Age-standardized NCD mortality rate  (per 100 000 population),MYS,Moderate,
Montenegro,2017,Both sexes,528.3,Age-standardized NCD mortality rate  (per 100 000 population),MNE,Moderate,
Trinidad and Tobago,2017,Both sexes,526.0,Age-standardized NCD mortality rate  (per 100 000 population),TTO,Moderate,
Kenya,2017,Both sexes,539.2,Age-standardized NCD mortality rate  (per 100 000 population),KEN,Moderate,Africa
Antigua and Barbuda,2017,Both sexes,538.4,Age-standardized NCD mortality rate  (per 100 000 population),ATG,Moderate,
Lithuania,2017,Both sexes,535.5,Age-standardized NCD mortality rate  (per 100 000 population),LTU,Moderate,
South Sudan,2017,Both sexes,548.4,Age-standardized NCD mortality rate  (per 100 000 population),SSD,Moderate,
Nepal,2017,Both sexes,547.6,Age-standardized NCD mortality rate  (per 100 000 population),NPL,Moderate,
Bahamas,2017,Both sexes,552.9,Age-standardized NCD mortality rate  (per 100 000 population),BHS,Moderate,
Iraq,2017,Both sexes,547.1,Age-standardized NCD mortality rate  (per 100 000 population),IRQ,Moderate,
Albania,2017,Both sexes,552.7,Age-standardized NCD mortality rate  (per 100 000 population),ALB,Moderate,
Saint Vincent and the Grenadines,2017,Both sexes,547.5,Age-standardized NCD mortality rate  (per 100 000 population),VCT,Moderate,
Timor-Leste,2017,Both sexes,555.0,Age-standardized NCD mortality rate  (per 100 000 population),TLS,Moderate,
Mauritius,2017,Both sexes,564.8,Age-standardized NCD mortality rate  (per 100 000 population),MUS,Moderate,
Equatorial Guinea,2017,Both sexes,569.5,Age-standardized NCD mortality rate  (per 100 000 population),GNQ,Moderate,
Libya,2017,Both sexes,574.7,Age-standardized NCD mortality rate  (per 100 000 population),LBY,Moderate,
Tajikistan,2017,Both sexes,570.5,Age-standardized NCD mortality rate  (per 100 000 population),TJK,Moderate,
Azerbaijan,2017,Both sexes,573.3,Age-standardized NCD mortality rate  (per 100 000 population),AZE,Moderate,
Latvia,2017,Both sexes,566.4,Age-standardized NCD mortality rate  (per 100 000 population),LVA,Moderate,
Niger,2017,Both sexes,577.1,Age-standardized NCD mortality rate  (per 100 000 population),NER,Moderate,
Viet Nam,2017,Both sexes,576.1,Age-standardized NCD mortality rate  (per 100 000 population),VNM,Moderate,
"occupied Palestinian territory, including east Jerusalem",2017,Both sexes,578.9,Age-standardized NCD mortality rate  (per 100 000 population),PSE,Moderate,
India,2017,Both sexes,576.8,Age-standardized NCD mortality rate  (per 100 000 population),IND,Moderate,Asia
Romania,2017,Both sexes,579.0,Age-standardized NCD mortality rate  (per 100 000 population),ROU,Moderate,
Hungary,2017,Both sexes,577.2,Age-standardized NCD mortality rate  (per 100 000 population),HUN,Moderate,
Liberia,2017,Both sexes,588.6,Age-standardized NCD mortality rate  (per 100 000 population),LBR,Moderate,
Comoros,2017,Both sexes,600.5,Age-standardized NCD mortality rate  (per 100 000 population),COM,Moderate,
Zambia,2017,Both sexes,603.5,Age-standardized NCD mortality rate  (per 100 000 population),ZMB,Moderate,
Seychelles,2017,Both sexes,597.6,Age-standardized NCD mortality rate  (per 100 000 population),SYC,Moderate,
Armenia,2017,Both sexes,596.6,Age-standardized NCD mortality rate  (per 100 000 population),ARM,Moderate,
Senegal,2017,Both sexes,611.9,Age-standardized NCD mortality rate  (per 100 000 population),SEN,Moderate,
Rwanda,2017,Both sexes,612.4,Age-standardized NCD mortality rate  (per 100 000 population),RWA,Moderate,Africa
Sudan,2017,Both sexes,607.5,Age-standardized NCD mortality rate  (per 100 000 population),SDN,Moderate,
Sao Tome and Principe,2017,Both sexes,605.0,Age-standardized NCD mortality rate  (per 100 000 population),STP,Moderate,
Botswana,2017,Both sexes,613.5,Age-standardized NCD mortality rate  (per 100 000 population),BWA,Moderate,
North Macedonia,2017,Both sexes,614.1,Age-standardized NCD mortality rate  (per 100 000 population),MKD,Moderate,
Serbia,2017,Both sexes,613.1,Age-standardized NCD mortality rate  (per 100 000 population),SRB,Moderate,
Benin,2017,Both sexes,619.9,Age-standardized NCD mortality rate  (per 100 000 population),BEN,Moderate,
Morocco,2017,Both sexes,624.2,Age-standardized NCD mortality rate  (per 100 000 population),MAR,Moderate,
South Africa,2017,Both sexes,616.3,Age-standardized NCD mortality rate  (per 100 000 population),ZAF,Moderate,
Chad,2017,Both sexes,634.6,Age-standardized NCD mortality rate  (per 100 000 population),TCD,Moderate,
Djibouti,2017,Both sexes,626.6,Age-standardized NCD mortality rate  (per 100 000 population),DJI,Moderate,
Angola,2017,Both sexes,628.0,Age-standardized NCD mortality rate  (per 100 000 population),AGO,Moderate,
Namibia,2017,Both sexes,632.1,Age-standardized NCD mortality rate  (per 100 000 population),NAM,Moderate,
Ghana,2017,Both sexes,632.3,Age-standardized NCD mortality rate  (per 100 000 population),GHA,Moderate,
Oman,2017,Both sexes,630.0,Age-standardized NCD mortality rate  (per 100 000 population),OMN,Moderate,
Belarus,2017,Both sexes,634.9,Age-standardized NCD mortality rate  (per 100 000 population),BLR,Moderate,
Cote d'Ivoire,2017,Both sexes,639.5,Age-standardized NCD mortality rate  (per 100 000 population),CIV,Moderate,
Honduras,2017,Both sexes,639.4,Age-standardized NCD mortality rate  (per 100 000 population),HND,Moderate,
Democratic People's Republic of Korea,2017,Both sexes,639.3,Age-standardized NCD mortality rate  (per 100 000 population),PRK,Moderate,
Ukraine,2017,Both sexes,644.2,Age-standardized NCD mortality rate  (per 100 000 population),UKR,Moderate,
Bulgaria,2017,Both sexes,636.0,Age-standardized NCD mortality rate  (per 100 000 population),BGR,Moderate,
Philippines,2017,Both sexes,638.4,Age-standardized NCD mortality rate  (per 100 000 population),PHL,Moderate,
Congo,2017,Both sexes,648.0,Age-standardized NCD mortality rate  (per 100 000 population),COG,Moderate,
Burundi,2017,Both sexes,647.8,Age-standardized NCD mortality rate  (per 100 000 population),BDI,Moderate,
Gambia,2017,Both sexes,646.3,Age-standardized NCD mortality rate  (per 100 000 population),GMB,Moderate,
Sierra Leone,2017,Both sexes,647.8,Age-standardized NCD mortality rate  (per 100 000 population),SLE,Moderate,
Tonga,2017,Both sexes,652.1,Age-standardized NCD mortality rate  (per 100 000 population),TON,Moderate,
Bahrain,2017,Both sexes,645.8,Age-standardized NCD mortality rate  (per 100 000 population),BHR,Moderate,
Russian Federation,2017,Both sexes,649.1,Age-standardized NCD mortality rate  (per 100 000 population),RUS,Moderate,
Gabon,2017,Both sexes,660.5,Age-standardized NCD mortality rate  (per 100 000 population),GAB,Moderate,
Mali,2017,Both sexes,657.0,Age-standardized NCD mortality rate  (per 100 000 population),MLI,Moderate,
Guinea,2017,Both sexes,656.5,Age-standardized NCD mortality rate  (per 100 000 population),GIN,Moderate,
Republic of Moldova,2017,Both sexes,659.1,Age-standardized NCD mortality rate  (per 100 000 population),MDA,Moderate,
Kazakhstan,2017,Both sexes,664.2,Age-standardized NCD mortality rate  (per 100 000 population),KAZ,Moderate,
Georgia,2017,Both sexes,659.3,Age-standardized NCD mortality rate  (per 100 000 population),GEO,Moderate,
Yemen,2017,Both sexes,669.0,Age-standardized NCD mortality rate  (per 100 000 population),YEM,Moderate,
Kyrgyzstan,2017,Both sexes,665.7,Age-standardized NCD mortality rate  (per 100 000 population),KGZ,Moderate,
Indonesia,2017,Both sexes,666.0,Age-standardized NCD mortality rate  (per 100 000 population),IDN,Moderate,
Jamaica,2017,Both sexes,672.6,Age-standardized NCD mortality rate  (per 100 000 population),JAM,Moderate,
Grenada,2017,Both sexes,669.1,Age-standardized NCD mortality rate  (per 100 000 population),GRD,Moderate,
Burkina Faso,2017,Both sexes,679.0,Age-standardized NCD mortality rate  (per 100 000 population),BFA,Moderate,
Cameroon,2017,Both sexes,682.7,Age-standardized NCD mortality rate  (per 100 000 population),CMR,Moderate,
Malawi,2017,Both sexes,678.9,Age-standardized NCD mortality rate  (per 100 000 population),MWI,Moderate,
Myanmar,2017,Both sexes,676.6,Age-standardized NCD mortality rate  (per 100 000 population),MMR,Moderate,
Guyana,2017,Both sexes,683.3,Age-standardized NCD mortality rate  (per 100 000 population),GUY,Moderate,
Guinea-Bissau,2017,Both sexes,694.7,Age-standardized NCD mortality rate  (per 100 000 population),GNB,Moderate,
Madagascar,2017,Both sexes,691.8,Age-standardized NCD mortality rate  (per 100 000 population),MDG,Moderate,
Cambodia,2017,Both sexes,686.8,Age-standardized NCD mortality rate  (per 100 000 population),KHM,Moderate,
Democratic Republic of the Congo,2017,Both sexes,697.0,Age-standardized NCD mortality rate  (per 100 000 population),COD,Moderate,
Pakistan,2017,Both sexes,695.7,Age-standardized NCD mortality rate  (per 100 000 population),PAK,Moderate,
Syrian Arab Republic,2017,Both sexes,701.4,Age-standardized NCD mortality rate  (per 100 000 population),SYR,Moderate,
Turkmenistan,2017,Both sexes,704.6,Age-standardized NCD mortality rate  (per 100 000 population),TKM,Moderate,
Lao People's Democratic Republic,2017,Both sexes,709.4,Age-standardized NCD mortality rate  (per 100 000 population),LAO,Moderate,
Togo,2017,Both sexes,723.0,Age-standardized NCD mortality rate  (per 100 000 population),TGO,Moderate,
Papua New Guinea,2017,Both sexes,715.3,Age-standardized NCD mortality rate  (per 100 000 population),PNG,Moderate,
Mongolia,2017,Both sexes,775.3,Age-standardized NCD mortality rate  (per 100 000 population),MNG,Moderate,
Eritrea,2017,Both sexes,794.5,Age-standardized NCD mortality rate  (per 100 000 population),ERI,Moderate,
Samoa,2017,Both sexes,798.0,Age-standardized NCD mortality rate  (per 100 000 population),WSM,Moderate,
Egypt,2017,Both sexes,797.1,Age-standardized NCD mortality rate  (per 100 000 population),EGY,Moderate,
Mozambique,2017,Both sexes,814.5,Age-standardized NCD mortality rate  (per 100 000 population),MOZ,High,
Somalia,2017,Both sexes,823.0,Age-standardized NCD mortality rate  (per 100 000 population),SOM,High,
Uzbekistan,2017,Both sexes,851.5,Age-standardized NCD mortality rate  (per 100 000 population),UZB,High,
Haiti,2017,Both sexes,866.4,Age-standardized NCD mortality rate  (per 100 000 population),HTI,High,
Central African Republic,2017,Both sexes,880.9,Age-standardized NCD mortality rate  (per 100 000 population),CAF,High,
Zimbabwe,2017,Both sexes,904.4,Age-standardized NCD mortality rate  (per 100 000 population),ZWE,High,
Afghanistan,2017,Both sexes,919.2,Age-standardized NCD mortality rate  (per 100 000 population),AFG,High,
Solomon Islands,2017,Both sexes,941.3,Age-standardized NCD mortality rate  (per 100 000 population),SLB,High,
Vanuatu,2017,Both sexes,942.7,Age-standardized NCD mortality rate  (per 100 000 population),VUT,High,
Fiji,2017,Both sexes,964.9,Age-standardized NCD mortality rate  (per 100 000 population),FJI,High,
